model,n_train,n_valid,fit_seconds,mae_clean,rmse_clean,mape_clean,median_ape_clean,r2_clean,mae_all,rmse_all,mape_all,median_ape_all,r2_all,fold
lane_median,18835,9696,0.0,150.54025744382517,205.0665871138942,6.04953951695639,5.785058827617919,0.9786021135853856,203.1552768526708,665.9104911132429,8.191534843072738,5.847021452652959,0.8147235167991406,May-Jun
lane_median,28406,9671,0.0,91.10545750009594,131.40099676404884,3.839639061117344,3.274365837167828,0.9904351180758176,142.51974654490533,634.5680929930465,6.06659955040475,3.331386613470589,0.8187716099065212,Jul-Aug
lane_median,37944,9523,0.0,82.35954495277208,119.97750655936538,3.4777633729168387,2.978377397637564,0.9923890077948814,137.97813579141584,640.3535460246665,5.9833979213019255,3.0356119530209997,0.823923757747798,Sep-Oct
ridge,18835,9696,0.2,42.76293970809135,64.36346803708206,1.737809814592432,1.433277942446754,0.9978920517530364,96.60074860975654,629.8643412291891,4.029933276503382,1.4584426739906584,0.8342388966632874,May-Jun
ridge,28406,9671,0.2,102.1737446900396,136.53148335164528,4.256211330643099,4.2086237714869,0.989673624551303,153.40033238747455,625.8871475971475,6.596766610864827,4.256659928555974,0.823696133500246,Jul-Aug
ridge,37944,9523,0.2,50.268746788416266,74.84434543234593,2.1626781219271027,1.8082632563062924,0.997038173583207,106.19281463881649,633.3785768731071,4.659359924236304,1.8408756975051364,0.8277386433244456,Sep-Oct
hist_gb,18835,9696,4.7,62.75209402488575,101.66866706578196,2.6305219008863028,1.90383032895706,0.994740368349324,116.28007794983812,636.0537095287858,4.871616359198674,1.9382731140490903,0.8309651844149579,May-Jun
hist_gb,28406,9671,3.6,89.00774070904684,138.15718870865433,3.325148188861123,2.5705305068601088,0.9894262443830842,140.3910721683676,627.8606068949572,5.612379045762204,2.624155069690088,0.8225825876301098,Jul-Aug
hist_gb,37944,9523,7.5,53.24842356235393,79.44901121671022,2.169430334114095,1.886680164041872,0.9966625205030124,109.08406138966492,634.6241934567429,4.653167333946329,1.917129513465035,0.8270604309531661,Sep-Oct
lightgbm,18835,9696,5.7,57.34804144681461,95.18533344184216,2.325012885759725,1.7077954504241375,0.9953897853986614,110.9639601338449,634.5137513086356,4.579308011860821,1.729465779005563,0.8317826985147947,May-Jun
lightgbm,28406,9671,6.6,90.22962950939458,140.47258408444043,3.3628942201476617,2.577647146385267,0.9890688604893052,141.64650002899128,629.3311863176198,5.638617358039276,2.633139912014994,0.8217505177682323,Jul-Aug
lightgbm,37944,9523,7.8,52.149951682340166,78.2886485322334,2.092243784456264,1.8131622295036327,0.996759297192226,108.0245480083906,634.4533840416293,4.580138665140131,1.8409315159665385,0.8271535119659295,Sep-Oct
blend,18835,9696,11.9,43.92023743271396,70.79812296547819,1.743034901956261,1.356622203246998,0.9974495045219168,97.72649789609385,630.950112205158,4.019770620783905,1.375299800085271,0.833666920419344,May-Jun
blend,28406,9671,11.0,86.61511726091678,129.1349589357548,3.2350353201718307,2.716732010619375,0.9907621703073032,138.06747041537116,625.6262462488638,5.550150853455364,2.7577150884871573,0.8238430875622603,Jul-Aug
blend,37944,9523,12.6,48.44460294793336,72.92044084227369,2.0059925969452617,1.6858770068994464,0.9971884864279196,104.38612198365564,633.4942534788177,4.500060867275433,1.7150587157608357,0.8276757159397711,Sep-Oct
